Year,Country,WEEK,AFR,PF,Unknown,DENV1,DENV2,DENV3,DENV4,ZIKV,CHIKV
2013,Fiji,Week01,1,8,,,,,,,
2013,Fiji,Week02,33,16,,,,,,,
2013,Fiji,Week03,22,10,,,,,,,
2013,Fiji,Week04,29,15,,,,,,,
2013,Fiji,Week05,16,14,,1,0,0,0,,
2013,Fiji,Week06,14,16,,1,0,0,0,,
2013,Fiji,Week07,3,20,,1,0,0,0,,
2013,Fiji,Week08,24,18,,1,0,0,0,,
2013,Fiji,Week09,,,,2,0,0,0,,
2013,Fiji,Week10,5,27,,9,0,0,0,,
2013,Fiji,Week11,72,67,,3,0,0,0,,
2013,Fiji,Week12,15,49,,0,0,0,0,,
2013,Fiji,Week13,148,28,,1,0,0,0,,
2013,Fiji,Week14,63,136,,,,,,,
2013,Fiji,Week15,25,79,,,,,,,
2013,Fiji,Week16,15,49,,,,,,,
2013,Fiji,Week17,1,11,,,,,,,
2013,Fiji,Week18,14,18,,,,,,,
2013,Fiji,Week19,2,52,,,,,,,
2013,Fiji,Week20,5,17,,,,,,,
2013,Fiji,Week21,0,10,,,,,,,
2013,Fiji,Week22,2,11,,,,,,,
2013,Fiji,Week23,2,25,,,,,,,
2013,Fiji,Week24,1,10,,,,,,,
2013,Fiji,Week25,2,5,,,,,,,
2013,Fiji,Week26,4,45,,,,,,,
2013,Fiji,Week27,2,14,,,,,,,
2013,Fiji,Week28,25,17,,,,,,,
2013,Fiji,Week29,0,1,,,,,,,
2013,Fiji,Week30,9,14,,,,,,,
2013,Fiji,Week31,7,11,,,,,,,
2013,Fiji,Week32,4,4,,,,,,,
2013,Fiji,Week33,1,0,,,,,,,
2013,Fiji,Week34,3,13,,,,,,,
2013,Fiji,Week35,36,24,,,,,,,
2013,Fiji,Week36,21,18,,,,,,,
2013,Fiji,Week37,16,16,,,,,,,
2013,Fiji,Week38,17,9,,,,,,,
2013,Fiji,Week41,7,14,,,,,,,
2013,Fiji,Week42,2,29,,,,,,,
2013,Fiji,Week43,24,31,,,,,,,
2013,Fiji,Week44,12,33,,,,,,,
2013,Fiji,Week45,22,24,,,,,,,
2013,Fiji,Week46,6,26,,,,,,,
2013,Fiji,Week47,21,21,,0,0,1,0,,
2013,Fiji,Week48,12,21,,0,0,0,0,,
2013,Fiji,Week49,22,41,,0,0,2,0,,
2013,Fiji,Week50,5,12,,0,0,10,0,,
2013,Fiji,Week52,1,33,,0,0,0,0,,
2014,Fiji,Week01,0,9,,0,0,0,0,,
2014,Fiji,Week02,3,42,,,,,,,
2014,Fiji,Week03,0,31,,,,,,,
2014,Fiji,Week04,2,72,,0,0,0,0,0,0
2014,Fiji,Week05,0,37,,0,0,0,0,0,0
2014,Fiji,Week06,16,106,,0,0,0,0,0,0
2014,Fiji,Week07,39,63,,,,,,,
2014,Fiji,Week08,155,14,,0,0,0,0,0,0
2014,Fiji,Week09,168,64,,0,0,1,0,0,0
2014,Fiji,Week10,66,168,,0,2,1,0,0,0
2014,Fiji,Week11,157,110,,1,0,8,0,0,0
2014,Fiji,Week12,132,60,,0,0,0,0,0,0
2014,Fiji,Week13,4,92,,,,,,,
2014,Fiji,Week14,7,66,,,,,,,
2014,Fiji,Week15,0,34,,,,,,,
2014,Fiji,Week16,0,109,,,,,,,
2014,Fiji,Week17,0,32,,,,,,,
2014,Fiji,Week18,5,20,,,,,,,
2014,Fiji,Week19,0,11,,,,,,,
2014,Fiji,Week20,0,32,,,,,,,
2014,Fiji,Week21,14,67,,,,,,,
2014,Fiji,Week22,2,4,,,,,,,
2014,Fiji,Week23,0,7,,,,,,,
2014,Fiji,Week24,0,25,,,,,,,
2014,Fiji,Week25,1,3,,,,,,,
2014,Fiji,Week26,0,17,,,,,,,
2014,Fiji,Week27,1,65,,,,,,,
2014,Fiji,Week28,0,20,,,,,,,
2014,Fiji,Week29,0,25,,,,,,,
2014,Fiji,Week30,0,11,,,,,,,
2014,Fiji,Week31,0,14,,,,,,,
2014,Fiji,Week32,0,17,,,,,,,
2014,Fiji,Week33,1,16,,,,,,,
2014,Fiji,Week34,0,16,,,,,,,
2014,Fiji,Week35,0,24,,,,,,,
2014,Fiji,Week36,0,11,,,,,,,
2014,Fiji,Week37,0,15,,,,,,,
2014,Fiji,Week38,0,14,,,,,,,
2014,Fiji,Week39,2,8,,,,,,,
2014,Fiji,Week40,0,6,,0,1,1,0,0,0
2014,Fiji,Week41,0,12,,,,,,,
2014,Fiji,Week42,0,11,,,,,,,
2014,Fiji,Week43,5,4,,,,,,,
2014,Fiji,Week44,0,11,,,,,,,
2014,Fiji,Week45,1,20,,,,,,,
2014,Fiji,Week46,5,24,,,,,,,
2014,Fiji,Week47,1,20,,,,,,,
2014,Fiji,Week48,6,9,,,,,,,
2014,Fiji,Week49,0,4,,,,,,,
2014,Fiji,Week50,6,34,,,,,,,
2014,Fiji,Week52,0,0,,0,0,0,0,0,0
2015,Fiji,Week01,0,11,,0,0,0,0,0,0
2015,Fiji,Week02,5,30,,0,0,0,0,0,0
2015,Fiji,Week03,2,5,,0,1,0,0,0,0
2015,Fiji,Week04,1,21,,0,10,1,0,0,0
2015,Fiji,Week05,0,14,,0,0,0,0,0,0
2015,Fiji,Week06,3,13,,0,0,0,0,0,0
2015,Fiji,Week07,0,15,,0,0,0,0,0,0
2015,Fiji,Week08,0,22,,0,0,0,0,0,0
2015,Fiji,Week09,1,10,,0,0,0,0,0,0
2015,Fiji,Week10,0,4,,0,0,0,0,0,1
2015,Fiji,Week11,1,12,,0,5,0,0,0,0
2015,Fiji,Week12,1,15,,0,7,0,0,0,0
2015,Fiji,Week13,0,6,,0,5,1,0,0,2
2015,Fiji,Week14,3,9,,0,1,0,0,0,0
2015,Fiji,Week15,1,9,,,,,,,
2015,Fiji,Week16,1,8,,0,1,0,0,0,0
2015,Fiji,Week17,1,7,,0,0,0,0,0,0
2015,Fiji,Week18,0,4,,0,2,0,0,0,0
2015,Fiji,Week19,0,4,,0,1,0,0,0,0
2015,Fiji,Week20,0,4,,0,0,0,0,0,0
2015,Fiji,Week21,0,2,,0,1,0,0,0,2
2015,Fiji,Week22,5,11,,0,2,0,0,0,0
2015,Fiji,Week23,1,8,,0,1,0,0,0,0
2015,Fiji,Week24,,,,0,0,0,0,0,0
2015,Fiji,Week25,1,15,,0,0,0,0,0,0
2015,Fiji,Week26,0,7,,0,1,0,0,0,0
2015,Fiji,Week27,1,12,,0,0,0,0,0,0
2015,Fiji,Week28,2,29,,0,0,0,0,2,0
2015,Fiji,Week29,0,19,,0,0,0,0,0,0
2015,Fiji,Week30,3,29,,0,1,0,0,0,0
2015,Fiji,Week31,1,7,,0,0,0,0,0,0
2015,Fiji,Week32,1,6,,,,,,,
2015,Fiji,Week33,,,,,,,,,
2015,Fiji,Week34,1,15,,0,0,0,0,0,0
2015,Fiji,Week35,0,10,,,,,,,
